Log start : Tue Dec 13 09:49:51 2011

Current Directory : e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp
09:49:55:259   [ZFileTransfer] ERROR : Failed download : ./HanAuthForClient.dll
09:49:55:259   [ZUpdate] WARNNING : Retry patch file : .\PATCH\HanAuthForClient.dll_ , 1 retry
09:49:55:259   [ZFileTransfer] Download file : ./HanAuthForClient.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\HanAuthForClient.dll_
09:49:55:259   [ZFileTransfer] ERROR : Server error.
09:49:55:259   [ZFileTransfer] ERROR : Failed download : ./HanAuthForClient.dll
09:49:55:259   [ZUpdate] ERROR : Fail to download file '.\PATCH\HanAuthForClient.dll_'
09:49:55:259   [ZFileTransfer] Download file : ./HanPollForClient.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\HanPollForClient.dll_
09:49:55:275   [ZFileTransfer] ERROR : Server error.
09:49:55:275   [ZFileTransfer] ERROR : Failed download : ./HanPollForClient.dll
09:49:55:275   [ZUpdate] WARNNING : Retry patch file : .\PATCH\HanPollForClient.dll_ , 1 retry
09:49:55:275   [ZFileTransfer] Download file : ./HanPollForClient.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\HanPollForClient.dll_
09:49:55:290   [ZFileTransfer] ERROR : Server error.
09:49:55:290   [ZFileTransfer] ERROR : Failed download : ./HanPollForClient.dll
09:49:55:290   [ZUpdate] ERROR : Fail to download file '.\PATCH\HanPollForClient.dll_'
09:49:55:290   [ZFileTransfer] Download file : ./HanReportForClient.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\HanReportForClient.dll_
09:49:55:290   [ZFileTransfer] ERROR : Server error.
09:49:55:290   [ZFileTransfer] ERROR : Failed download : ./HanReportForClient.dll
09:49:55:290   [ZUpdate] WARNNING : Retry patch file : .\PATCH\HanReportForClient.dll_ , 1 retry
